Ecozone,Subset,mu_hat_est,mu_hat_95_ci,s2_hat_est,s2_hat_95_ci
Northern Arctic,Overall,0.0699,"(0.0696, 0.0702)",0.005674168631835484,"(0.0056, 0.0057)"
Northern Arctic,Inside protected areas,0.0697,"(0.0685, 0.0709)",0.007387956527964981,"(0.0072, 0.0076)"
Northern Arctic,Outside protected areas,0.0699,"(0.0696, 0.0702)",0.005523946995653105,"(0.0055, 0.0056)"
Arctic Cordillera,Overall,0.0591,"(0.0582, 0.06)",0.0035645945974636466,"(0.0035, 0.0036)"
Arctic Cordillera,Inside protected areas,0.0684,"(0.0663, 0.0704)",0.004009733042882791,"(0.0039, 0.0042)"
Arctic Cordillera,Outside protected areas,0.0562,"(0.0552, 0.0572)",0.0034262503163515604,"(0.0033, 0.0035)"
Southern Arctic,Overall,0.1361,"(0.1357, 0.1364)",0.009458726228785243,"(0.0094, 0.0095)"
Southern Arctic,Inside protected areas,0.1275,"(0.1267, 0.1283)",0.009187807547733587,"(0.0091, 0.0093)"
Southern Arctic,Outside protected areas,0.1382,"(0.1378, 0.1385)",0.009524704837589128,"(0.0095, 0.0096)"
Taiga Cordillera,Overall,0.1819,"(0.181, 0.1827)",0.013415404958238147,"(0.0133, 0.0135)"
Taiga Cordillera,Inside protected areas,0.1679,"(0.1666, 0.1692)",0.012397538576639314,"(0.0123, 0.0125)"
Taiga Cordillera,Outside protected areas,0.1873,"(0.1863, 0.1883)",0.013812338804707777,"(0.0137, 0.0139)"
Taiga Plain,Overall,0.2751,"(0.274, 0.2762)",0.013449385208043384,"(0.0134, 0.0135)"
Taiga Plain,Inside protected areas,0.247,"(0.2451, 0.2489)",0.013793587764079324,"(0.0137, 0.0139)"
Taiga Plain,Outside protected areas,0.2812,"(0.2799, 0.2825)",0.013374605942802553,"(0.0133, 0.0134)"
Boreal Cordillera,Overall,0.2796,"(0.2786, 0.2806)",0.017894535348986274,"(0.0178, 0.018)"
Boreal Cordillera,Inside protected areas,0.2345,"(0.2313, 0.2376)",0.015606323899899905,"(0.0153, 0.0159)"
Boreal Cordillera,Outside protected areas,0.2897,"(0.2888, 0.2905)",0.018404803227480233,"(0.0183, 0.0185)"
Taiga Shield,Overall,0.2529,"(0.2524, 0.2535)",0.010460310400506944,"(0.0104, 0.0105)"
Taiga Shield,Inside protected areas,0.2504,"(0.2489, 0.2518)",0.010131614866920463,"(0.0101, 0.0102)"
Taiga Shield,Outside protected areas,0.2533,"(0.2528, 0.2539)",0.010510811287444945,"(0.0105, 0.0105)"
Pacific Maritime,Overall,0.3861,"(0.3829, 0.3892)",0.029486210586439934,"(0.0292, 0.0298)"
Pacific Maritime,Inside protected areas,0.3689,"(0.3614, 0.3764)",0.028128374334048037,"(0.0274, 0.0289)"
Pacific Maritime,Outside protected areas,0.3911,"(0.3877, 0.3945)",0.029884168662838752,"(0.0296, 0.0302)"
Boreal Plain,Overall,0.4051,"(0.4045, 0.4057)",0.014954475599713163,"(0.0149, 0.015)"
Boreal Plain,Inside protected areas,0.3778,"(0.3761, 0.3794)",0.01441452439917115,"(0.0142, 0.0147)"
Boreal Plain,Outside protected areas,0.4084,"(0.4077, 0.409)",0.015019146560994817,"(0.0149, 0.0151)"
Montane Cordillera,Overall,0.3713,"(0.37, 0.3725)",0.02122516853492291,"(0.0211, 0.0213)"
Montane Cordillera,Inside protected areas,0.3197,"(0.3171, 0.3223)",0.020613330563810803,"(0.0204, 0.0209)"
Montane Cordillera,Outside protected areas,0.3848,"(0.3835, 0.3862)",0.021385830279956476,"(0.0213, 0.0215)"
Boreal Shield,Overall,0.4167,"(0.4162, 0.4171)",0.014698269517219373,"(0.0147, 0.0147)"
Boreal Shield,Inside protected areas,0.414,"(0.4127, 0.4153)",0.015191352010189403,"(0.0151, 0.0153)"
Boreal Shield,Outside protected areas,0.417,"(0.4165, 0.4175)",0.014638077693767052,"(0.0146, 0.0147)"
Hudson Plain,Overall,0.3319,"(0.3309, 0.3329)",0.010174395949435493,"(0.0101, 0.0102)"
Hudson Plain,Inside protected areas,0.2859,"(0.2831, 0.2886)",0.009538900977651685,"(0.0094, 0.0097)"
Hudson Plain,Outside protected areas,0.339,"(0.3381, 0.34)",0.010273087850999067,"(0.0102, 0.0103)"
Prairie,Overall,0.299,"(0.2985, 0.2995)",0.00887869154618022,"(0.0088, 0.0089)"
Prairie,Inside protected areas,0.2901,"(0.2883, 0.2919)",0.0093211664318372,"(0.0089, 0.0097)"
Prairie,Outside protected areas,0.2995,"(0.299, 0.3)",0.008854032789531636,"(0.0088, 0.0089)"
Atlantic Maritime,Overall,0.5174,"(0.5165, 0.5182)",0.017020320543657538,"(0.0169, 0.0171)"
Atlantic Maritime,Inside protected areas,0.5203,"(0.5166, 0.524)",0.01884701922754603,"(0.0184, 0.0193)"
Atlantic Maritime,Outside protected areas,0.5171,"(0.5162, 0.518)",0.016853036846978888,"(0.0167, 0.017)"
Mixedwood Plain,Overall,0.4335,"(0.4322, 0.4348)",0.013248146897066033,"(0.0131, 0.0134)"
Mixedwood Plain,Inside protected areas,0.4337,"(0.4247, 0.4427)",0.017485987145586735,"(0.0157, 0.0193)"
Mixedwood Plain,Outside protected areas,0.4335,"(0.4322, 0.4348)",0.013175969569232343,"(0.013, 0.0134)"
